Signal,Type,DataType,Deprecated,Unit,Min,Max,Desc,Comment,Allowed,Default,Instances
Vehicle.OBD.LongTermO2Trim1,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 56 (byte A) - Long term secondary O2 trim - Bank 1,,,,
Vehicle.OBD.LongTermO2Trim3,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 56 (byte B) - Long term secondary O2 trim - Bank 3,,,,
Vehicle.OBD.ShortTermO2Trim2,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 57 (byte A) - Short term secondary O2 trim - Bank 2,,,,
Vehicle.OBD.ShortTermO2Trim4,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 57 (byte B) - Short term secondary O2 trim - Bank 4,,,,
Vehicle.OBD.LongTermO2Trim2,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 58 (byte A) - Long term secondary O2 trim - Bank 2,,,,
Vehicle.OBD.LongTermO2Trim4,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 58 (byte B) - Long term secondary O2 trim - Bank 4,,,,
Vehicle.OBD.FuelRailPressureAbsolute,sensor,float,v5.0 OBD-branch is deprecated.,kPa,,,PID 59 - Absolute fuel rail pressure,,,,
Vehicle.OBD.RelativeAcceleratorPosition,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 5A - Relative accelerator pedal position,,,,
Vehicle.OBD.HybridBatteryRemaining,sensor,float,v5.0 OBD-branch is deprecated.,percent,,,PID 5B - Remaining life of hybrid battery,,,,
Vehicle.OBD.OilTemperature,sensor,float,v5.0 OBD-branch is deprecated.,celsius,,,PID 5C - Engine oil temperature,,,,
Vehicle.OBD.FuelInjectionTiming,sensor,float,v5.0 OBD-branch is deprecated.,degrees,,,PID 5D - Fuel injection timing,,,,
Vehicle.OBD.FuelRate,sensor,float,v5.0 OBD-branch is deprecated.,l/h,,,PID 5E - Engine fuel rate,,,,
Vehicle.Driver,branch,,,,,,Driver data.,,,,[]
Vehicle.Driver.Identifier,branch,,v5.0 - use data from Vehicle.Occupant.*.*.Identifier.,,,,Identifier attributes based on OAuth 2.0.,,,,[]
Vehicle.Driver.Identifier.Subject,sensor,string,v5.0 - use data from Vehicle.Occupant.*.*.Identifier.,,,,Subject for the authentication of the occupant e.g. UserID 7331677.,,,,
Vehicle.Driver.Identifier.Issuer,sensor,string,v5.0 - use data from Vehicle.Occupant.*.*.Identifier.,,,,Unique Issuer for the authentication of the occupant e.g. https://accounts.funcorp.com.,,,,
Vehicle.Driver.DistractionLevel,sensor,float,,percent,0,100,"Distraction level of the driver, which can be evaluated by multiple factors e.g. driving situation, acoustical or optical signals inside the cockpit, ongoing phone calls.",,,,
Vehicle.Driver.IsEyesOnRoad,sensor,boolean,,,,,Has driver the eyes on road or not?,,,,
Vehicle.Driver.IsHandsOnWheel,sensor,boolean,,,,,Are the driver's hands on the steering wheel or not?,,,,
Vehicle.Driver.AttentiveProbability,sensor,float,,percent,0,100,Probability of attentiveness of the driver.,,,,
Vehicle.Driver.FatigueLevel,sensor,float,,percent,0,100,"Fatigue level of the driver, which can be evaluated by multiple factors e.g. trip time, behaviour of steering, eye status.",,,,
Vehicle.Driver.HeartRate,sensor,uint16,,bpm,,,Heart rate of the driver.,,,,
Vehicle.Occupant,branch,,,,,,Occupant (Driver or Passenger) data.,,,,"['Row[1,2]', ['DriverSide', 'Middle', 'PassengerSide']]"
Vehicle.Occupant.Identifier,branch,,,,,,Identifier attributes based on OAuth 2.0.,,,,[]
Vehicle.Occupant.Identifier.Subject,sensor,string,,,,,Subject for the authentication of the occupant e.g. UserID 7331677.,,,,
Vehicle.Occupant.Identifier.Issuer,sensor,string,,,,,Unique Issuer for the authentication of the occupant e.g. https://accounts.funcorp.com.,,,,
Vehicle.Occupant.HeadPosition,branch,,,,,,The current position of the driver head on vehicle axis according to ISO 23150:2023.,,,,[]
Vehicle.Occupant.HeadPosition.X,sensor,int16,,mm,,,Longitudinal position of head center measured as mid eye position on X-axis of the vehicle rear-axle coordinate system as defined by ISO 23150:2023 section 3.7.12 Mid eye position refers to the center of a line drawn between the center of the drivers eyes. Positive values = forward of (first) rear-axle. Negative values = backward of (first) rear-axle.,,,,
Vehicle.Occupant.HeadPosition.Y,sensor,int16,,mm,,,Lateral position of head center measured as mid eye position on X-axis of the vehicle rear-axle coordinate system as defined by ISO 23150:2023 section 3.7.12 Mid eye position refers to the center of a line drawn between the center of the drivers eyes. Positive values = left of rear-axle center. Negative values = right of rear-axle center.,,,,
Vehicle.Occupant.HeadPosition.Z,sensor,int16,,mm,,,Height position of head center measured as mid eye position on X-axis of the vehicle rear-axle coordinate system as defined by ISO 23150:2023 section 3.7.12 Mid eye position refers to the center of a line drawn between the center of the drivers eyes. Positive values = above center of rear-axle reference point. Negative values = below center of rear-axle reference point.,,,,
Vehicle.Occupant.HeadPosition.Yaw,sensor,float,,degrees,-180,180,"Head yaw angle, measured from the vehicle sprung mass X-axis as defined by ISO 23150:2023 to the head X-axis, around the vehicle Z-axis (right-hand rule). 0 = Head in normal position. Positive values = Head turned left. Negative values = Head turned right.",,,,
Vehicle.Occupant.HeadPosition.Pitch,sensor,float,,degrees,-90,90,"Head pitch angle, measured as angle from vehicle sprung mass XY-plane as defined by ISO 23150:2023 to the head X-axis. 0 = Head in normal position. Positive values = Head leaning up. Negative values = Head leaning down.",,,,
Vehicle.Occupant.HeadPosition.Roll,sensor,float,,degrees,-180,180,Head roll angle about the head X-axis (right-hand rule). 0 = Head in normal position. Positive values = Head leaning to the right. Negative values = Head leaning to the left.,,,,
Vehicle.Occupant.MidEyeGaze,branch,,,,,,Direction from mid eye position to object driver is looking at.,,,,[]
Vehicle.Occupant.MidEyeGaze.Azimuth,sensor,float,,degrees,-180,180,Mid eye azimuth gaze (right-hand rule) on vehicle sprung mass Z-axis as defined by ISO 23150:2023 0 = Driver looking forward. Positive values = Driver looking at something on the left side of driver. Negative values = Driver looking at something on the right side of driver.,,,,
Vehicle.Occupant.MidEyeGaze.Elevation,sensor,float,,degrees,-90,90,Elevation to observed object measured as angle between vehicle sprung mass XY-plane as defined by ISO 23150:2023 at driver mid eye position and object. 0 = Driver looking at something at same height as mid eye position. Positive values = Driver looking at something above mid eye position. Negative values = Driver looking at something below mid eye position.,,,,
Vehicle.Exterior,branch,,,,,,Information about exterior measured by vehicle.,,,,[]
Vehicle.Exterior.AirTemperature,sensor,float,,celsius,,,Air temperature outside the vehicle.,,,,
Vehicle.Exterior.Humidity,sensor,float,,percent,0,100,"Relative humidity outside the vehicle. 0 = Dry, 100 = Air fully saturated.",,,,
Vehicle.Exterior.LightIntensity,sensor,float,,percent,0,100,"Light intensity outside the vehicle. 0 = No light detected, 100 = Fully lit.",Mapping to physical units and calculation method is sensor specific.,,,
Vehicle.Service,branch,,,,,,Service data.,,,,[]
Vehicle.Service.IsServiceDue,sensor,boolean,,,,,Indicates if vehicle needs service (of any kind). True = Service needed now or in the near future. False = No known need for service.,,,,
Vehicle.Service.DistanceToService,sensor,float,,km,,,Remaining distance to service (of any kind). Negative values indicate service overdue.,,,,
Vehicle.Service.TimeToService,sensor,int32,,s,,,Remaining time to service (of any kind). Negative values indicate service overdue.,,,,
Vehicle.Connectivity,branch,,,,,,Connectivity data.,,,,[]
Vehicle.Connectivity.IsConnectivityAvailable,sensor,boolean,,,,,Indicates if connectivity between vehicle and cloud is available. True = Connectivity is available. False = Connectivity is not available.,"This signal can be used by onboard vehicle services to decide what features that shall be offered to the driver, for example disable the 'check for update' button if vehicle does not have connectivity.",,,
Vehicle.VersionVSS,branch,,,,,,Supported Version of VSS.,,,,[]
Vehicle.VersionVSS.Major,attribute,uint32,,,,,Supported Version of VSS - Major version.,,,6,
Vehicle.VersionVSS.Minor,attribute,uint32,,,,,Supported Version of VSS - Minor version.,,,0,
Vehicle.VersionVSS.Patch,attribute,uint32,,,,,Supported Version of VSS - Patch version.,,,0,
Vehicle.VersionVSS.Label,attribute,string,,,,,Label to further describe the version.,"COVESA VSS project typically use dev for latest master, and empty string for released versions.",,dev,
Vehicle.VehicleIdentification,branch,,,,,,Attributes that identify a vehicle.,,,,[]
Vehicle.VehicleIdentification.VIN,attribute,string,,,,,17-character Vehicle Identification Number (VIN) as defined by ISO 3779.,,,,
Vehicle.VehicleIdentification.WMI,attribute,string,,,,,3-character World Manufacturer Identification (WMI) as defined by ISO 3780.,,,,
Vehicle.VehicleIdentification.Brand,attribute,string,,,,,Vehicle brand or manufacturer.,,,,
Vehicle.VehicleIdentification.Model,attribute,string,,,,,Vehicle model.,,,,
Vehicle.VehicleIdentification.Year,attribute,uint16,,,,,Model year of the vehicle.,,,,
Vehicle.VehicleIdentification.AcrissCode,attribute,string,,,,,The ACRISS Car Classification Code is a code used by many car rental companies.,,,,
Vehicle.VehicleIdentification.BodyType,attribute,string,,,,,"Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).",,,,
Vehicle.VehicleIdentification.DateVehicleFirstRegistered,attribute,string,,iso8601,,,The date in ISO 8601 format of the first registration of the vehicle with the respective public authorities.,,,,
Vehicle.VehicleIdentification.LicensePlate,attribute,string,,,,,The license plate of the vehicle.,"Depending on the context, this attribute might not be up to date or might be misconfigured, and therefore should be considered untrustworthy in the absence of another method of verification.",,,
Vehicle.VehicleIdentification.MeetsEmissionStandard,attribute,string,,,,,Indicates that the vehicle meets the respective emission standard.,,,,
Vehicle.VehicleIdentification.ProductionDate,attribute,string,,iso8601,,,"The date in ISO 8601 format of production of the item, e.g. vehicle.",,,,
Vehicle.VehicleIdentification.PurchaseDate,attribute,string,,iso8601,,,The date in ISO 8601 format of the item e.g. vehicle was purchased by the current owner.,,,,
Vehicle.VehicleIdentification.VehicleModelDate,attribute,string,,iso8601,,,The release date in ISO 8601 format of a vehicle model (often used to differentiate versions of the same make and model).,,,,
Vehicle.VehicleIdentification.VehicleConfiguration,attribute,string,,,,,"A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.",,,,
Vehicle.VehicleIdentification.VehicleSeatingCapacity,attribute,uint16,,,,,"The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.",,,,
Vehicle.VehicleIdentification.VehicleSpecialUsage,attribute,string,,,,,"Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.",,,,
Vehicle.VehicleIdentification.VehicleExteriorColor,attribute,string,,,,,"The main color of the exterior within the basic color palette (eg. red, blue, black, white, ...).",,,,
Vehicle.VehicleIdentification.VehicleInteriorColor,attribute,string,,,,,The color or color combination of the interior of the vehicle.,,,,
Vehicle.VehicleIdentification.VehicleInteriorType,attribute,string,,,,,"The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).",,,,
Vehicle.VehicleIdentification.KnownVehicleDamages,attribute,string,,,,,"A textual description of known damages, both repaired and unrepaired.",,,,
Vehicle.VehicleIdentification.OptionalExtras,attribute,string[],,,,,Optional extras refers to all car equipment options that are not installed as standard by the manufacturer.,"Allowed values are not standardized, each OEM can specify detail descriptions of array elements.",,,
Vehicle.LowVoltageSystemState,sensor,string,,,,,State of the supply voltage of the control units (usually 12V).,,"['UNDEFINED', 'LOCK', 'OFF', 'ACC', 'ON', 'START']",,
Vehicle.LowVoltageBattery,branch,,,,,,Signals related to low voltage battery.,,,,[]
Vehicle.LowVoltageBattery.NominalVoltage,attribute,uint16,,V,,,Nominal Voltage of the battery.,Nominal voltage typically refers to voltage of fully charged battery when delivering rated capacity.,,,
Vehicle.LowVoltageBattery.NominalCapacity,attribute,uint16,,Ah,,,Nominal capacity of the low voltage battery.,,,,
Vehicle.LowVoltageBattery.CurrentVoltage,sensor,float,,V,,,Current Voltage of the low voltage battery.,,,,
Vehicle.LowVoltageBattery.CurrentCurrent,sensor,float,,A,,,"Current current flowing in/out of the low voltage battery. Positive = Current flowing in to battery, e.g. during charging or driving. Negative = Current flowing out of battery, e.g. when using the battery to start a combustion engine.",,,,
Vehicle.Speed,sensor,float,,km/h,,,Vehicle speed.,,,,
Vehicle.TraveledDistance,sensor,float,,km,,,"Odometer reading, total distance traveled during the lifetime of the vehicle.",,,,
Vehicle.TraveledDistanceSinceStart,sensor,float,,km,,,Distance traveled since start of current trip.,A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled. The signal may however keep the value of the last trip until a new trip is started.,,,
Vehicle.StartTime,attribute,string,,iso8601,,,"Start time of current or latest trip, formatted according to ISO 8601 with UTC time zone.","This signal is supposed to be set whenever a new trip starts. A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled. The default value indicates that the vehicle never has been started, or that latest start time is unknown.",,0000-01-01T00:00Z,
Vehicle.TripDuration,sensor,float,,s,,,Duration of latest trip.,"This signal is not assumed to be continuously updated, but instead set to 0 when a trip starts and set to the actual duration of the trip when a trip ends. A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled.",,,
Vehicle.TripMeterReading,actuator,float,,km,,,Trip meter reading.,The trip meter is an odometer that can be manually reset by the driver,,,
Vehicle.IsBrokenDown,sensor,boolean,,,,,"Vehicle breakdown or any similar event causing vehicle to stop on the road, that might pose a risk to other road users. True = Vehicle broken down on the road, due to e.g. engine problems, flat tire, out of gas, brake problems. False = Vehicle not broken down.",Actual criteria and method used to decide if a vehicle is broken down is implementation specific.,,,
Vehicle.IsMoving,sensor,boolean,,,,,Indicates whether the vehicle is stationary or moving.,,,,
Vehicle.AverageSpeed,sensor,float,,km/h,,,Average speed for the current trip.,A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled. The signal may however keep the value of the last trip until a new trip is started. Calculation of average speed may exclude periods when the vehicle for example is not moving or transmission is in neutral.,,,
Vehicle.Acceleration,branch,,,,,,Spatial acceleration. Axis definitions according to ISO 8855.,,,,[]
Vehicle.Acceleration.Longitudinal,sensor,float,,m/s^2,,,Vehicle acceleration in X (longitudinal acceleration).,,,,
Vehicle.Acceleration.Lateral,sensor,float,,m/s^2,,,Vehicle acceleration in Y (lateral acceleration).,,,,
Vehicle.Acceleration.Vertical,sensor,float,,m/s^2,,,Vehicle acceleration in Z (vertical acceleration).,,,,
Vehicle.AngularVelocity,branch,,,,,,Spatial rotation. Axis definitions according to ISO 8855.,,,,[]
Vehicle.AngularVelocity.Roll,sensor,float,,degrees/s,,,Vehicle rotation rate along X (longitudinal).,,,,
Vehicle.AngularVelocity.Pitch,sensor,float,,degrees/s,,,Vehicle rotation rate along Y (lateral).,,,,
Vehicle.AngularVelocity.Yaw,sensor,float,,degrees/s,,,Vehicle rotation rate along Z (vertical).,,,,
Vehicle.RoofLoad,attribute,int16,,kg,,,The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.,,,,
Vehicle.CargoVolume,attribute,float,,l,0,,"The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.",,,,
Vehicle.EmissionsCO2,attribute,int16,,g/km,,,The CO2 emissions.,,,,
Vehicle.CurrentOverallWeight,sensor,uint16,,kg,,,"Current overall Vehicle weight. Including passengers, cargo and other load inside the car.",,,,
Vehicle.CurbWeight,attribute,uint16,,kg,,,"Vehicle curb weight, including all liquids and full tank of fuel, but no cargo or passengers.",,,0,
Vehicle.GrossWeight,attribute,uint16,,kg,,,"Curb weight of vehicle, including all liquids and full tank of fuel and full load of cargo and passengers.",,,0,
Vehicle.MaxTowWeight,attribute,uint16,,kg,,,Maximum weight of trailer.,,,0,
Vehicle.MaxTowBallWeight,attribute,uint16,,kg,,,Maximum vertical weight on the tow ball of a trailer.,,,0,
Vehicle.Length,attribute,uint16,,mm,,,Overall vehicle length.,,,0,
Vehicle.Height,attribute,uint16,,mm,,,Overall vehicle height.,,,0,
Vehicle.WidthExcludingMirrors,attribute,uint16,,mm,,,"Overall vehicle width excluding mirrors, as defined by SAE J1100-2009 W103.",,,0,
Vehicle.WidthIncludingMirrors,attribute,uint16,,mm,,,"Overall vehicle width including mirrors, as defined by SAE J1100-2009 W144.",,,,
Vehicle.WidthFoldedMirrors,attribute,uint16,,mm,,,"Overall vehicle width with mirrors folded, as defined by SAE J1100-2009 W145.",,,,
Vehicle.TurningDiameter,attribute,uint16,,mm,,,"Minimum turning diameter, Wall-to-Wall, as defined by SAE J1100-2009 D102.",,,,
Vehicle.Trailer,branch,,,,,,Trailer signals.,,,,[]
Vehicle.Trailer.IsConnected,sensor,boolean,,,,,Signal indicating if trailer is connected or not.,,,,
Vehicle.CurrentLocation,branch,,,,,,The current latitude and longitude of the vehicle.,,,,[]
Vehicle.CurrentLocation.Timestamp,sensor,string,,iso8601,,,"Timestamp from GNSS system for current location, formatted according to ISO 8601 with UTC time zone.",,,,
Vehicle.CurrentLocation.Latitude,sensor,double,,degrees,-90,90,"Current latitude of vehicle in WGS 84 geodetic coordinates, as measured at the position of GNSS receiver antenna.",,,,
Vehicle.CurrentLocation.Longitude,sensor,double,,degrees,-180,180,"Current longitude of vehicle in WGS 84 geodetic coordinates, as measured at the position of GNSS receiver antenna.",,,,
Vehicle.CurrentLocation.Heading,sensor,double,,degrees,0,360,"Current heading relative to geographic north. 0 = North, 90 = East, 180 = South, 270 = West.",,,,
Vehicle.CurrentLocation.HorizontalAccuracy,sensor,double,,m,,,Accuracy of the latitude and longitude coordinates.,,,,
Vehicle.CurrentLocation.Altitude,sensor,double,,m,,,"Current altitude relative to WGS 84 reference ellipsoid, as measured at the position of GNSS receiver antenna.",,,,
Vehicle.CurrentLocation.VerticalAccuracy,sensor,double,,m,,,Accuracy of altitude.,,,,
Vehicle.CurrentLocation.GNSSReceiver,branch,,,,,,Information on the GNSS receiver used for determining current location.,,,,[]
Vehicle.CurrentLocation.GNSSReceiver.FixType,sensor,string,,,,,Fix status of GNSS receiver.,,"['NONE', 'TWO_D', 'TWO_D_SATELLITE_BASED_AUGMENTATION', 'TWO_D_GROUND_BASED_AUGMENTATION', 'TWO_D_SATELLITE_AND_GROUND_BASED_AUGMENTATION', 'THREE_D', 'THREE_D_SATELLITE_BASED_AUGMENTATION', 'THREE_D_GROUND_BASED_AUGMENTATION', 'THREE_D_SATELLITE_AND_GROUND_BASED_AUGMENTATION']",,
Vehicle.CurrentLocation.GNSSReceiver.MountingPosition,branch,,,,,,Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle.,,,,[]
Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.X,attribute,int16,,mm,,,Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = forward of rear axle. Negative values = backward of rear axle.,,,,
Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.Y,attribute,int16,,mm,,,"Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = left of origin. Negative values = right of origin. Left/Right is as seen from driver perspective, i.e. by a person looking forward.",,,,
Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.Z,attribute,int16,,mm,,,Mounting position of GNSS receiver on Z-axis. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = above center of rear axle. Negative values = below center of rear axle.,,,,
Vehicle.PowerOptimizeLevel,actuator,uint8,,,0,10,"Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.",,,,
Vehicle.IsAutoPowerOptimize,actuator,boolean,,,,,"Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.",,,,
Vehicle.Diagnostics,branch,,,,,,Diagnostics data.,,,,[]
Vehicle.Diagnostics.DTCCount,sensor,uint8,,,,,Number of Diagnostic Trouble Codes (DTC),,,,
Vehicle.Diagnostics.DTCList,sensor,string[],,,,,List of currently active DTCs formatted according OBD II (SAE-J2012DA_201812) standard ([P|C|B|U]XXXXX ),,,,
Vehicle.MotionManagement,branch,,,,,,Motion Management Information.,,,,[]
Vehicle.MotionManagement.ElectricAxle,branch,,,,,,MotionManagement for a specific electric axle.,,,,"['Row[1,2]']"
Vehicle.MotionManagement.ElectricAxle.Torque,sensor,int16,,Nm,,,"Axle torque, positive sign for torque in forward direction, negative sign for torque in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueTarget,actuator,int16,,Nm,,,"Target axle torque in torque control mode, positive sign for torque in forward direction, negative sign for torque in backward direction (ISO8855).",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueMaximum,sensor,int16,,Nm,,,"Maximum momentarily available eAxle torque, positive sign for torque in forward direction, negative sign for torque in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueMinimum,sensor,int16,,Nm,,,"Minimum momentarily available eAxle torque, positive sign for torque in forward direction, negative sign for torque in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueLongTermMaximum,sensor,int16,,Nm,,,"Maximum long-term available eAxle torque, default time horizon = 10 sec, positive sign for torque in forward direction, negative sign for torque in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueLongTermMinimum,sensor,int16,,Nm,,,"Minimum long-term available eAxle torque, default time horizon = 10 sec, positive sign for torque in forward direction, negative sign for torque in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueShortTermMaximum,sensor,int16,,Nm,,,"Maximum short-term available eAxle torque, default time horizon = 1 sec, positive sign for torque in forward direction, negative sign for torque in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueShortTermMinimum,sensor,int16,,Nm,,,"Minimum short-term available eAxle torque, default time horizon = 1 sec, positive sign for torque in forward direction, negative sign for torque in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueMaximumLimit,actuator,int16,,Nm,,,"Maximum allowed eAxle torque in rotation speed control mode, positive sign for torque in forward direction, negative sign unused.",,,,
Vehicle.MotionManagement.ElectricAxle.TorqueMinimumLimit,actuator,int16,,Nm,,,"Minimum allowed axle torque in rotation speed control mode, positive sign unused, negative sign for torque in backward direction (ISO8855).",,,,
Vehicle.MotionManagement.ElectricAxle.RotationalSpeed,sensor,int16,,rpm,,,"Rotational speed for the specified axle, positive sign for rotation in forward direction, negative sign for rotation in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.RotationalSpeedTarget,actuator,int16,,rpm,,,"Target axle rotational speed in rotation speed control mode, positive sign for rotation in forward direction, negative sign for rotation in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.RotationalSpeedMaximumLimit,actuator,int16,,rpm,,,"Maximum allowed axle rotational speed in torque control mode, positive sign for rotation in forward direction, negative sign for rotation in backward direction.",,,,
Vehicle.MotionManagement.ElectricAxle.RotationalSpeedMinimumLimit,actuator,int16,,rpm,,,"Minimum allowed axle rotational speed in torque control mode, positive sign for rotation in forward direction, negative sign for rotation in backward direction.",,,,
Vehicle.MotionManagement.Brake,branch,,,,,,MotionManagement related to braking (both frictions brakes and contribution from electric axles).,,,,[]
Vehicle.MotionManagement.Brake.VehicleForceMaximum,actuator,int16,,N,,0,Maximum longitudinal brake force request (FxWhlSum). Sum of all tyre longitudinal forces. Brake Force < 0N.,,,,
Vehicle.MotionManagement.Brake.VehicleForceElectricMinimumArbitrated,sensor,int16,,N,,0,Brake system internally calculated regenerative force limit at vehicle level for eAxle actuation. Brake Force < 0N.,,,,
Vehicle.MotionManagement.Brake.VehicleForceElectric,actuator,int16,,N,,0,Regenerative brake force request (FxWhlSum). Sum of all tyre longitudinal forces. Brake Force < 0N.,,,,
Vehicle.MotionManagement.Brake.VehicleForceDistributionFrontMaximum,actuator,uint16,,percent,0,100,Maximum distribution range request of FxWhlSum to front axle. 0% = Complete longitudinal brake force shall be shifted to rear axle. 50% = At most 50% shall be shifted to front axle. 100%  = Complete longitudinal brake force may be shifted to front axle.,,,,
Vehicle.MotionManagement.Brake.VehicleForceDistributionFrontMinimum,actuator,uint16,,percent,0,100,Minimum distribution range request of FxWhlSum to front axle. 0% = Complete longitudinal brake force may be shifted to rear axle. 50% = At least 50% shall be shifted to front axle. 100% = Complete longitudinal brake force shall be shifted to front axle.,,,,
Vehicle.MotionManagement.Brake.Axle,branch,,,,,,MotionManagement for brake actuation for a specific electric axle.,,,,"['Row[1,2]']"
Vehicle.MotionManagement.Brake.Axle.TorqueElectricMinimum,actuator,int16,,Nm,,0.0,Limit for regenerative brake torque at given axle. Brake Torque < 0Nm.,,,,
Vehicle.MotionManagement.Brake.Axle.TorqueFrictionDifferenceMaximum,actuator,uint16,,Nm,,,Maximum absolute wheel torque difference between left and right wheel for friction brake.,,,,
Vehicle.MotionManagement.Brake.Axle.TorqueDistributionFrictionRightMaximum,actuator,uint16,,percent,0,100,Maximum distribution range of the friction brake request on the axle to the right wheel. 0% = Complete friction torque shall be shifted to the left wheel. 50% = At most 50% friction torque may be shifted to the right wheel. 100% = Complete friction torque may be shifted to the right wheel.,,,,
Vehicle.MotionManagement.Brake.Axle.TorqueDistributionFrictionRightMinimum,actuator,uint16,,percent,0,100,Minimum distribution range of the friction brake request on the axle to the right wheel. 0% = Complete friction torque may be shifted to the left wheel. 50% = At least 50% friction torque shall be shifted to the right wheel. 100% = Complete friction torque shall be shifted to the right wheel.,,,,
Vehicle.MotionManagement.Brake.Axle.Wheel,branch,,,,,,MotionManagement signals for a specific wheel.,,,,"['Left', 'Right']"
Vehicle.MotionManagement.Brake.Axle.Wheel.Torque,sensor,int16,,Nm,,0,Estimated friction brake torque. Brake Torque < 0Nm.,,,,
Vehicle.MotionManagement.Brake.Axle.Wheel.TorqueArbitrated,sensor,int16,,Nm,,0,Brake system internally calculated friction brake torque target. Brake Torque < 0Nm.,,,,
Vehicle.MotionManagement.Brake.Axle.Wheel.TorqueFrictionMaximum,actuator,int16,,Nm,,0,Maximum wheel torque request for friction brake. Brake Torque < 0Nm.,,,,
Vehicle.MotionManagement.Brake.Axle.Wheel.TorqueFrictionMinimum,actuator,int16,,Nm,,0,Minimum wheel torque request for friction brake. Brake Torque < 0Nm.,,,,
Vehicle.MotionManagement.Brake.Axle.Wheel.OmegaUpper,actuator,uint16,,rad/s,,,Upper wheel speed limit request controlled by friction brake. ISO 8855 wheel-spin velocity.,,,,
Vehicle.MotionManagement.Brake.Axle.Wheel.OmegaLower,actuator,uint16,,rad/s,,,Lower wheel speed limit request controlled by friction brake. ISO 8855 wheel-spin velocity.,,,,
Vehicle.MotionManagement.Steering,branch,,,,,,MotionManagement related to steering.,,,,[]
Vehicle.MotionManagement.Steering.SteeringWheel,branch,,,,,,MotionManagement related to steering wheel.,,,,[]
Vehicle.MotionManagement.Steering.SteeringWheel.Angle,sensor,int16,,degrees,,,"Represents the current input angle of the steering system, typically corresponds to angle applied by driver on the steering-wheel. Positive for angle in counterclockwise direction (based on ISO8855).",,,,
Vehicle.MotionManagement.Steering.SteeringWheel.AngleTarget,actuator,int16,,degrees,,,Steering-wheel angle request to the steering actuator (external set-point for steer-by-wire). Positive sign for angle in counterclockwise direction (based on ISO8855).,,,,
Vehicle.MotionManagement.Steering.SteeringWheel.AngleTargetMode,actuator,uint8,,,,,Mode used for controlling Steering-wheel angle interface. 0 indicates interface disabled. Other values activate vehicle specific modes.,,,,
Vehicle.MotionManagement.Steering.SteeringWheel.TorqueOffsetTarget,actuator,int16,,Nm,,,"Steering-wheel torque offset request to the steering actuator, added to the actuator internal calculated target value. Positive sign for torque in counterclockwise direction (based on ISO8855).",,,,
